Date,"Close Price"
"2015-01-11 00:00:00",265.37
"2015-01-12 00:00:00",267.09
"2015-01-13 00:00:00",226.98
"2015-01-14 00:00:00",177.28
"2015-01-15 00:00:00",210.46
"2015-01-16 00:00:00",207.22
"2015-01-17 00:00:00",199.62
"2015-01-18 00:00:00",209.93
"2015-01-19 00:00:00",213.98
"2015-01-20 00:00:00",210.48
"2015-01-21 00:00:00",225.98
"2015-01-22 00:00:00",232.66
"2015-01-23 00:00:00",232.97
"2015-01-24 00:00:00",247.99
"2015-01-25 00:00:00",254.51
"2015-01-26 00:00:00",271.95
"2015-01-27 00:00:00",262.06
"2015-01-28 00:00:00",233.21
"2015-01-29 00:00:00",232.4
"2015-01-30 00:00:00",226.5
"2015-01-31 00:00:00",216.91
"2015-02-01 00:00:00",226.4
"2015-02-02 00:00:00",237.54
"2015-02-03 00:00:00",226.96
"2015-02-04 00:00:00",226.73
"2015-02-05 00:00:00",216.77
"2015-02-06 00:00:00",222.48
"2015-02-07 00:00:00",227.33
"2015-02-08 00:00:00",222.87
"2015-02-09 00:00:00",220.17
"2015-02-10 00:00:00",220.08
"2015-02-12 00:04:00",219.28

"This data was produced from the CoinDesk Bitcoin Price Index. BPI value data is listed in USD."
http://www.coindesk.com/price/
